Model,AUC,Precision,Recall,F1-Score
Logistic Regression,0.8421917383554213,0.660377358490566,0.5614973262032086,0.6069364161849711
Random Forest,0.8434937611408199,0.6677966101694915,0.5267379679144385,0.5889387144992526
XGBoost,0.8411713038311504,0.6378205128205128,0.5320855614973262,0.5801749271137027
